params_types_unique	return_types_unique	image_types	images_types	unsupported_types	first_image_param_names	subsequent_image_param_names	signatures	signatures_filtered
cv2.typing.Rect	tuple[_typing.Sequence[UMat], UMat]	UMat	_typing.Sequence[UMat]	_typing.Sequence	hu	meta	CamShift(probImage: cv2.typing.MatLike, window: cv2.typing.Rect, criteria: cv2.typing.TermCriteria) -> tuple[cv2.typing.RotatedRect, cv2.typing.Rect]	CamShift(probImage: cv2.typing.MatLike, window: cv2.typing.Rect, criteria: cv2.typing.TermCriteria) -> tuple[cv2.typing.RotatedRect, cv2.typing.Rect]
bool	tuple[int, UMat, UMat, cv2.typing.Rect]	cv2.typing.MatLike	_typing.Sequence[cv2.typing.MatLiike]	_typing.Callable	point	M	CamShift(probImage: UMat, window: cv2.typing.Rect, criteria: cv2.typing.TermCriteria) -> tuple[cv2.typing.RotatedRect, cv2.typing.Rect]	CamShift(probImage: UMat, window: cv2.typing.Rect, criteria: cv2.typing.TermCriteria) -> tuple[cv2.typing.RotatedRect, cv2.typing.Rect]
_typing.Sequence[float]	tuple[cv2.typing.MatLike, cv2.typing.MatLike]	cv2.typing.MatLike | None	_typing.Sequence[cv2.typing.Rect]	_typing.Type[cv2.dnn.LayerProtocol]	prevImg	iM	Canny(image: cv2.typing.MatLike, threshold1: float, threshold2: float, edges: cv2.typing.MatLike | None, apertureSize: int, L2gradient: bool) -> cv2.typing.MatLike	Canny(image: cv2.typing.MatLike, threshold1: float, threshold2: float, edges: cv2.typing.MatLike | None, apertureSize: int, L2gradient: bool) -> cv2.typing.MatLike
HandEyeCalibrationMethod	tuple[bool, numpy.ndarray[_typing.Any, numpy.dtype[numpy.uint8]]]	cv2.cuda.GpuMat	_typing.Sequence[cv2.typing.MatLike]	HistogramCostExtractor	m	dst	Canny(image: UMat, threshold1: float, threshold2: float, edges: UMat | None, apertureSize: int, L2gradient: bool) -> UMat	Canny(image: UMat, threshold1: float, threshold2: float, edges: UMat | None, apertureSize: int, L2gradient: bool) -> UMat
RobotWorldHandEyeCalibrationMethod	cv2.typing.RotatedRect		_typing.Sequence[UMat] | None	ShapeTransformer	H1	dist_coeff1	Canny(dx: cv2.typing.MatLike, dy: cv2.typing.MatLike, threshold1: float, threshold2: float, edges: cv2.typing.MatLike | None, L2gradient: bool) -> cv2.typing.MatLike	Canny(dx: cv2.typing.MatLike, dy: cv2.typing.MatLike, threshold1: float, threshold2: float, edges: cv2.typing.MatLike | None, L2gradient: bool) -> cv2.typing.MatLike
CirclesGridFinderParameters	tuple[bool, Animation]			UsacParams	result	dist_coeff2	Canny(dx: UMat, dy: UMat, threshold1: float, threshold2: float, edges: UMat | None, L2gradient: bool) -> UMat	Canny(dx: UMat, dy: UMat, threshold1: float, threshold2: float, edges: UMat | None, L2gradient: bool) -> UMat
SolvePnPMethod	tuple[float, cv2.typing.MatLike, cv2.typing.MatLike, _typing.Sequence[cv2.typing.MatLike], _typing.Sequence[cv2.typing.MatLike], cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]			Animation	M	kernelX	EMD(signature1: cv2.typing.MatLike, signature2: cv2.typing.MatLike, distType: int, cost: cv2.typing.MatLike | None, lowerBound: float | None, flow: cv2.typing.MatLike | None) -> tuple[float, float, cv2.typing.MatLike]	EMD(signature1: cv2.typing.MatLike, signature2: cv2.typing.MatLike, distType: int, cost: cv2.typing.MatLike | None, lowerBound: float | None, flow: cv2.typing.MatLike | None) -> tuple[float, float, cv2.typing.MatLike]
cv2.typing.Point	tuple[int, cv2.typing.Rect]			CirclesGridFinderParameters	cameraMatrix1	points	EMD(signature1: UMat, signature2: UMat, distType: int, cost: UMat | None, lowerBound: float | None, flow: UMat | None) -> tuple[float, float, UMat]	EMD(signature1: UMat, signature2: UMat, distType: int, cost: UMat | None, lowerBound: float | None, flow: UMat | None) -> tuple[float, float, UMat]
_typing.Sequence[KeyPoint]	tuple[float, UMat, UMat, _typing.Sequence[UMat], _typing.Sequence[UMat], UMat, UMat, UMat, UMat, UMat]			cv2.typing.FeatureDetector	dst	centroids	GaussianBlur(src: cv2.typing.MatLike, ksize: cv2.typing.Size, sigmaX: float, dst: cv2.typing.MatLike | None, sigmaY: float, borderType: int, hint: AlgorithmHint) -> cv2.typing.MatLike	GaussianBlur(src: cv2.typing.MatLike, ksize: cv2.typing.Size, sigmaX: float, dst: cv2.typing.MatLike | None, sigmaY: float, borderType: int, hint: AlgorithmHint) -> cv2.typing.MatLike
cv2.typing.RotatedRect	tuple[cv2.typing.Scalar, UMat]			AffineTransformerAlignMTBBackgroundSubtractorKNNBackgroundSubtractorMOG2CalibrateDebevecCalibrateRobertsonCLAHEGArrayDescGeneralizedHoughBallardGeneralizedHoughGuilGOpaqueDescGScalarDescHausdorffDistanceExtractorHistogramCostExtractorLineSegmentDetectorMergeDebevecMergeMertensMergeRobertsonShapeContextDistanceExtractorThinPlateSplineShapeTransformerTonemapTonemapDragoTonemapMantiukTonemapReinhard	from_	v2	GaussianBlur(src: UMat, ksize: cv2.typing.Size, sigmaX: float, dst: UMat | None, sigmaY: float, borderType: int, hint: AlgorithmHint) -> UMat	GaussianBlur(src: UMat, ksize: cv2.typing.Size, sigmaX: float, dst: UMat | None, sigmaY: float, borderType: int, hint: AlgorithmHint) -> UMat
cv2.typing.Size | None	tuple[int, _typing.Sequence[UMat], _typing.Sequence[UMat], _typing.Sequence[UMat]]				projMatr1	dABdB	HoughCircles(image: cv2.typing.MatLike, method: int, dp: float, minDist: float, circles: cv2.typing.MatLike | None, param1: float, param2: float, minRadius: int, maxRadius: int) -> cv2.typing.MatLike	HoughCircles(image: cv2.typing.MatLike, method: int, dp: float, minDist: float, circles: cv2.typing.MatLike | None, param1: float, param2: float, minRadius: int, maxRadius: int) -> cv2.typing.MatLike
_typing.Callable[[int, int, int, int, _typing.Any | None], None]	None				src1	F	HoughCircles(image: UMat, method: int, dp: float, minDist: float, circles: UMat | None, param1: float, param2: float, minRadius: int, maxRadius: int) -> UMat	HoughCircles(image: UMat, method: int, dp: float, minDist: float, circles: UMat | None, param1: float, param2: float, minRadius: int, maxRadius: int) -> UMat
AlgorithmHint	tuple[cv2.typing.Point2d, float]				prev	warpMatrix	HoughLines(image: cv2.typing.MatLike, rho: float, theta: float, threshold: int, lines: cv2.typing.MatLike | None, srn: float, stn: float, min_theta: float, max_theta: float, use_edgeval: bool) -> cv2.typing.MatLike	HoughLines(image: cv2.typing.MatLike, rho: float, theta: float, threshold: int, lines: cv2.typing.MatLike | None, srn: float, stn: float, min_theta: float, max_theta: float, use_edgeval: bool) -> cv2.typing.MatLike
UsacParams	int				points	contour2	HoughLines(image: UMat, rho: float, theta: float, threshold: int, lines: UMat | None, srn: float, stn: float, min_theta: float, max_theta: float, use_edgeval: bool) -> UMat	HoughLines(image: UMat, rho: float, theta: float, threshold: int, lines: UMat | None, srn: float, stn: float, min_theta: float, max_theta: float, use_edgeval: bool) -> UMat
UMat | None	tuple[bool, cv2.typing.MatLike, cv2.typing.MatLike]				image	P	HoughLinesP(image: cv2.typing.MatLike, rho: float, theta: float, threshold: int, lines: cv2.typing.MatLike | None, minLineLength: float, maxLineGap: float) -> cv2.typing.MatLike	HoughLinesP(image: cv2.typing.MatLike, rho: float, theta: float, threshold: int, lines: cv2.typing.MatLike | None, minLineLength: float, maxLineGap: float) -> cv2.typing.MatLike
cv2.typing.Point2d	tuple[bool, UMat]				F	nextImg	HoughLinesP(image: UMat, rho: float, theta: float, threshold: int, lines: UMat | None, minLineLength: float, maxLineGap: float) -> UMat	HoughLinesP(image: UMat, rho: float, theta: float, threshold: int, lines: UMat | None, minLineLength: float, maxLineGap: float) -> UMat
cv2.typing.Rect2d	LineSegmentDetector				srcPoints	R1	HoughLinesPointSet(point: cv2.typing.MatLike, lines_max: int, threshold: int, min_rho: float, max_rho: float, rho_step: float, min_theta: float, max_theta: float, theta_step: float, lines: cv2.typing.MatLike | None) -> cv2.typing.MatLike	HoughLinesPointSet(point: cv2.typing.MatLike, lines_max: int, threshold: int, min_rho: float, max_rho: float, rho_step: float, min_theta: float, max_theta: float, theta_step: float, lines: cv2.typing.MatLike | None) -> cv2.typing.MatLike
cv2.typing.Point2f	GScalarDesc				v1	src2	HoughLinesPointSet(point: UMat, lines_max: int, threshold: int, min_rho: float, max_rho: float, rho_step: float, min_theta: float, max_theta: float, theta_step: float, lines: UMat | None) -> UMat	HoughLinesPointSet(point: UMat, lines_max: int, threshold: int, min_rho: float, max_rho: float, rho_step: float, min_theta: float, max_theta: float, theta_step: float, lines: UMat | None) -> UMat
_typing.Sequence[int]	tuple[float, UMat, UMat]				data	err	HoughLinesWithAccumulator(image: cv2.typing.MatLike, rho: float, theta: float, threshold: int, lines: cv2.typing.MatLike | None, srn: float, stn: float, min_theta: float, max_theta: float) -> cv2.typing.MatLike	HoughLinesWithAccumulator(image: cv2.typing.MatLike, rho: float, theta: float, threshold: int, lines: cv2.typing.MatLike | None, srn: float, stn: float, min_theta: float, max_theta: float) -> cv2.typing.MatLike
float | None	tuple[bool, cv2.typing.MatLike]				pt1	u	HoughLinesWithAccumulator(image: UMat, rho: float, theta: float, threshold: int, lines: UMat | None, srn: float, stn: float, min_theta: float, max_theta: float) -> UMat	HoughLinesWithAccumulator(image: UMat, rho: float, theta: float, threshold: int, lines: UMat | None, srn: float, stn: float, min_theta: float, max_theta: float) -> UMat
_typing.Sequence[str]	_typing.Sequence[UMat]				R_cam2gripper	rhs	HuMoments(m: cv2.typing.Moments, hu: cv2.typing.MatLike | None) -> cv2.typing.MatLike	HuMoments(m: cv2.typing.Moments, hu: cv2.typing.MatLike | None) -> cv2.typing.MatLike
cv2.typing.Range	MergeDebevec				map1	dstmap1	HuMoments(m: cv2.typing.Moments, hu: UMat | None) -> UMat	HuMoments(m: cv2.typing.Moments, hu: UMat | None) -> UMat
_typing.Sequence[_typing.Sequence[DMatch]]	tuple[bool, UMat, UMat, UMat, UMat]				src	userColor	LUT(src: cv2.typing.MatLike, lut: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	LUT(src: cv2.typing.MatLike, lut: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
cv2.typing.TermCriteria	tuple[int, UMat, UMat]				src2	dst1	LUT(src: UMat, lut: UMat, dst: UMat | None) -> UMat	LUT(src: UMat, lut: UMat, dst: UMat | None) -> UMat
_typing.Any | None	tuple[cv2.typing.RotatedRect, cv2.typing.Rect]				beforePoints	p12	Laplacian(src: cv2.typing.MatLike, ddepth: int, dst: cv2.typing.MatLike | None, ksize: int, scale: float, delta: float, borderType: int) -> cv2.typing.MatLike	Laplacian(src: cv2.typing.MatLike, ddepth: int, dst: cv2.typing.MatLike | None, ksize: int, scale: float, delta: float, borderType: int) -> cv2.typing.MatLike
_typing.Sequence[cv2.typing.Rect]	tuple[bool, _typing.Sequence[cv2.typing.MatLike]]				Func	pts2	Laplacian(src: UMat, ddepth: int, dst: UMat | None, ksize: int, scale: float, delta: float, borderType: int) -> UMat	Laplacian(src: UMat, ddepth: int, dst: UMat | None, ksize: int, scale: float, delta: float, borderType: int) -> UMat
_typing.Sequence[cv2.typing.MatLike]	cv2.typing.Rect				array	dt3dr1	Mahalanobis(v1: cv2.typing.MatLike, v2: cv2.typing.MatLike, icovar: cv2.typing.MatLike) -> float	Mahalanobis(v1: cv2.typing.MatLike, v2: cv2.typing.MatLike, icovar: cv2.typing.MatLike) -> float
_typing.Callable[[int], None]	tuple[cv2.typing.MatLike, cv2.typing.Rect]				p1	Qz	Mahalanobis(v1: UMat, v2: UMat, icovar: UMat) -> float	Mahalanobis(v1: UMat, v2: UMat, icovar: UMat) -> float
Animation	tuple[float, UMat]				buf	labels	PCABackProject(data: cv2.typing.MatLike, mean: cv2.typing.MatLike, eigenvectors: cv2.typing.MatLike, result: cv2.typing.MatLike | None) -> cv2.typing.MatLike	PCABackProject(data: cv2.typing.MatLike, mean: cv2.typing.MatLike, eigenvectors: cv2.typing.MatLike, result: cv2.typing.MatLike | None) -> cv2.typing.MatLike
cv2.typing.MatLike | None	tuple[int, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]				mat	dr3dt1	PCABackProject(data: UMat, mean: UMat, eigenvectors: UMat, result: UMat | None) -> UMat	PCABackProject(data: UMat, mean: UMat, eigenvectors: UMat, result: UMat | None) -> UMat
str	tuple[float, UMat, UMat, UMat, UMat, UMat, UMat, UMat, cv2.typing.Rect, cv2.typing.Rect]				mtx	inputImage	PCACompute(data: cv2.typing.MatLike, mean: cv2.typing.MatLike, eigenvectors: cv2.typing.MatLike | None, maxComponents: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	PCACompute(data: cv2.typing.MatLike, mean: cv2.typing.MatLike, eigenvectors: cv2.typing.MatLike | None, maxComponents: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
int	tuple[UMat, UMat, UMat, UMat, UMat, UMat, UMat]				img1	dr3dr2	PCACompute(data: UMat, mean: UMat, eigenvectors: UMat | None, maxComponents: int) -> tuple[UMat, UMat]	PCACompute(data: UMat, mean: UMat, eigenvectors: UMat | None, maxComponents: int) -> tuple[UMat, UMat]
DrawMatchesFlags	tuple[float, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]				curve	R_gripper2cam	PCACompute(data: cv2.typing.MatLike, mean: cv2.typing.MatLike, retainedVariance: float, eigenvectors: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	PCACompute(data: cv2.typing.MatLike, mean: cv2.typing.MatLike, retainedVariance: float, eigenvectors: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
_typing.Callable[[tuple[int] | tuple[int, _typing.Any]], None]	_typing.Sequence[cv2.typing.Point]				probImage	hull	PCACompute(data: UMat, mean: UMat, retainedVariance: float, eigenvectors: UMat | None) -> tuple[UMat, UMat]	PCACompute(data: UMat, mean: UMat, retainedVariance: float, eigenvectors: UMat | None) -> tuple[UMat, UMat]
_typing.Sequence[UMat] | None	tuple[float, cv2.typing.MatLike, cv2.typing.MatLike, _typing.Sequence[cv2.typing.MatLike], _typing.Sequence[cv2.typing.MatLike], cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]				contour1	R13	PCACompute2(data: cv2.typing.MatLike, mean: cv2.typing.MatLike, eigenvectors: cv2.typing.MatLike | None, eigenvalues: cv2.typing.MatLike | None, maxComponents: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]	PCACompute2(data: cv2.typing.MatLike, mean: cv2.typing.MatLike, eigenvectors: cv2.typing.MatLike | None, eigenvalues: cv2.typing.MatLike | None, maxComponents: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]
HistogramCostExtractor	AffineTransformer				mask	lut	PCACompute2(data: UMat, mean: UMat, eigenvectors: UMat | None, eigenvalues: UMat | None, maxComponents: int) -> tuple[UMat, UMat, UMat]	PCACompute2(data: UMat, mean: UMat, eigenvectors: UMat | None, eigenvalues: UMat | None, maxComponents: int) -> tuple[UMat, UMat, UMat]
cv2.typing.FeatureDetector	BackgroundSubtractorMOG2				objectPoints	flow	PCACompute2(data: cv2.typing.MatLike, mean: cv2.typing.MatLike, retainedVariance: float, eigenvectors: cv2.typing.MatLike | None, eigenvalues: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]	PCACompute2(data: cv2.typing.MatLike, mean: cv2.typing.MatLike, retainedVariance: float, eigenvectors: cv2.typing.MatLike | None, eigenvalues: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]
_typing.Sequence[_typing.Sequence[str]]	tuple[float, UMat, UMat, _typing.Sequence[UMat], _typing.Sequence[UMat]]				cameraMatrix	magnitude	PCACompute2(data: UMat, mean: UMat, retainedVariance: float, eigenvectors: UMat | None, eigenvalues: UMat | None) -> tuple[UMat, UMat, UMat]	PCACompute2(data: UMat, mean: UMat, retainedVariance: float, eigenvectors: UMat | None, eigenvalues: UMat | None) -> tuple[UMat, UMat, UMat]
UMat	tuple[bool, UMat, UMat]				hist	dstPoints	PCAProject(data: cv2.typing.MatLike, mean: cv2.typing.MatLike, eigenvectors: cv2.typing.MatLike, result: cv2.typing.MatLike | None) -> cv2.typing.MatLike	PCAProject(data: cv2.typing.MatLike, mean: cv2.typing.MatLike, eigenvectors: cv2.typing.MatLike, result: cv2.typing.MatLike | None) -> cv2.typing.MatLike
cv2.typing.MatLike	Tonemap				x	projPoints1	PCAProject(data: UMat, mean: UMat, eigenvectors: UMat, result: UMat | None) -> UMat	PCAProject(data: UMat, mean: UMat, eigenvectors: UMat, result: UMat | None) -> UMat
